user_id,corporation,usage_count,total_wins,total_position_sum,win_rate,avg_position,user_name,cn_name,cn_name_plot
2450c74ea170,Curiosity II,5,1,9,20.0,1.8,晓黑,Curiosity II,Curiosity II
2450c74ea170,Ecoline (breakthrough),3,1,5,33.33,1.667,晓黑,Ecoline (breakthrough),Ecoline (breakthrough)
2450c74ea170,Interplanetary Cinematics (breakthrough),3,3,3,100.0,1.0,晓黑,Interplanetary Cinematics (breakthrough),Interplanetary Cinematics (breakthrough)
2450c74ea170,Lakefront Resorts,3,1,5,33.33,1.667,晓黑,湖畔度假区,湖畔度假区
2450c74ea170,Playwrights,2,2,2,100.0,1.0,晓黑,Playwrights,Playwrights
2450c74ea170,Polaris,2,1,3,50.0,1.5,晓黑,北极星,北极星
2450c74ea170,Ringcom,3,1,5,33.33,1.667,晓黑,Ringcom,Ringcom
2450c74ea170,Robinson Industries (breakthrough),2,0,4,0.0,2.0,晓黑,Robinson Industries (breakthrough),Robinson Industries (breakthrough)
2450c74ea170,Soylent Seedling Systems,4,3,5,75.0,1.25,晓黑,索伦特幼苗系统,索伦特幼苗系统
2450c74ea170,🌸EliteTech🌸,3,1,5,33.33,1.667,晓黑,🌸精英回馈🌸,精英回馈
2450c74ea170,🌸Mining Corp🌸,3,1,5,33.33,1.667,晓黑,🌸钢铁精炼🌸,钢铁精炼
2450c74ea170,🌸Protogen🌸,4,2,6,50.0,1.5,晓黑,🌸微生物热舞🌸,微生物热舞
2643ed5ba2fe,Runciter Associates,2,0,4,0.0,2.0,真香,朗西斯联合公司,朗西斯联合公司
2d6fc80f3e8b,Pobolog (breakthrough),2,2,2,100.0,1.0,彩虹,Pobolog (breakthrough),Pobolog (breakthrough)
2d6fc80f3e8b,Septem Tribus,2,0,4,0.0,2.0,彩虹,Septem Tribus,Septem Tribus
2d6fc80f3e8b,Soylent Seedling Systems,2,0,4,0.0,2.0,彩虹,索伦特幼苗系统,索伦特幼苗系统
2d6fc80f3e8b,🌸StarlinkDrifter🌸,2,1,3,50.0,1.5,彩虹,🌸星链漂流者🌸,星链漂流者
2d8d33416cd1,🌸Tyrell🌸,2,1,3,50.0,1.5,铃铛,🌸泰瑞尔公司🌸,泰瑞尔公司
322ed467ae60,Runciter Associates,2,1,3,50.0,1.5,wanghaozhe,朗西斯联合公司,朗西斯联合公司
32bfb3f9a500,Celestic (breakthrough),2,1,3,50.0,1.5,rjw,Celestic (breakthrough),Celestic (breakthrough)
32bfb3f9a500,Crescent Research Association,2,2,2,100.0,1.0,rjw,月牙研究联盟,月牙研究联盟
32bfb3f9a500,Manutech,2,0,4,0.0,2.0,rjw,Manutech,Manutech
32bfb3f9a500,MorningStar Inc (breakthrough),2,1,3,50.0,1.5,rjw,MorningStar Inc (breakthrough),MorningStar Inc (breakthrough)
32bfb3f9a500,Point Luna,2,2,2,100.0,1.0,rjw,Point Luna,Point Luna
32bfb3f9a500,Project Workshop,2,0,4,0.0,2.0,rjw,Project Workshop,Project Workshop
32bfb3f9a500,Valley Trust (breakthrough),2,1,3,50.0,1.5,rjw,Valley Trust (breakthrough),Valley Trust (breakthrough)
32bfb3f9a500,🌸Ark Nova🌸,2,1,3,50.0,1.5,rjw,🌸方舟动物园🌸,方舟动物园
34fb260b5198,Curiosity II,4,4,4,100.0,1.0,制裁苏总的黄sir,Curiosity II,Curiosity II
34fb260b5198,Factorum (breakthrough),5,4,6,80.0,1.2,制裁苏总的黄sir,Factorum (breakthrough),Factorum (breakthrough)
34fb260b5198,Millennium Falcon,3,3,3,100.0,1.0,制裁苏总的黄sir,千年隼,千年隼
34fb260b5198,Mining guild (breakthrough),2,1,3,50.0,1.5,制裁苏总的黄sir,Mining guild (breakthrough),Mining guild (breakthrough)
34fb260b5198,Pobolog (breakthrough),2,0,4,0.0,2.0,制裁苏总的黄sir,Pobolog (breakthrough),Pobolog (breakthrough)
34fb260b5198,Robinson Industries (breakthrough),2,2,2,100.0,1.0,制裁苏总的黄sir,Robinson Industries (breakthrough),Robinson Industries (breakthrough)
34fb260b5198,Spire,3,2,4,66.67,1.333,制裁苏总的黄sir,Spire,Spire
34fb260b5198,Teractor (breakthrough),2,2,2,100.0,1.0,制裁苏总的黄sir,Teractor (breakthrough),Teractor (breakthrough)
