user_id,total_games,total_wins,total_position_sum,total_score_sum,total_generations_sum,total_tr_sum,total_cards_played_sum,tr_games,cards_games,avg_position,avg_score,avg_generations,avg_tr,avg_cards_played,min_score,max_score,min_position,win_rate,user_name
fb677bca918a,40,2,125,2765,241,1202.0,1359.0,40,40,3.125,69.12,6.02,30.05,33.98,40,127,1,5.0,hanmoyesang
ucd090a991414,40,7,96,3282,224,1363.0,1729.0,40,40,2.4,82.05,5.6,34.08,43.22,31,143,1,17.5,虚空车神
dfc7613bd132,40,4,110,2967,227,1206.0,1289.0,39,39,2.75,74.18,5.68,30.92,33.05,48,135,1,10.0,小麦
u78ac45523fb9,38,4,115,2635,236,1135.0,1167.0,38,38,3.026,69.34,6.21,29.87,30.71,37,138,1,10.53,侠客谋
e17f4b9cc1e8,37,16,77,3271,209,1318.0,1295.0,37,37,2.081,88.41,5.65,35.62,35.0,44,132,1,43.24,阿尔
uaa68e76b5075,36,0,129,1994,219,835.0,1060.0,36,36,3.583,55.39,6.08,23.19,29.44,25,105,2,0.0,恶魔玩偶
uc1dbab628e33,35,10,74,2831,196,1237.0,1337.0,35,35,2.114,80.89,5.6,35.34,38.2,42,114,1,28.57,☆网☆络☆暴☆力☆
u23bd51ea6fb7,35,14,70,2853,289,1213.0,1055.0,35,35,2.0,81.51,8.26,34.66,30.14,54,129,1,40.0,zhutoujie88
u7175212d4e47,35,9,80,2944,240,1082.0,1287.0,35,35,2.286,84.11,6.86,30.91,36.77,38,150,1,25.71,dprd
uc98ed952aa9e,34,6,96,2511,194,1069.0,1113.0,34,34,2.824,73.85,5.71,31.44,32.74,42,142,1,17.65,彼岸花
ufca3984c719f,34,12,74,2952,195,1246.0,1364.0,34,34,2.176,86.82,5.74,36.65,40.12,47,138,1,35.29,赤王陵
dddf58451851,33,18,55,2988,189,1267.0,1332.0,33,33,1.667,90.55,5.73,38.39,40.36,52,149,1,54.55,等七月の雪
ufc0263303c64,33,15,63,2729,309,1022.0,1356.0,33,33,1.909,82.7,9.36,30.97,41.09,54,127,1,45.45,liu
u67ae71d09c8d,32,1,98,2475,192,1069.0,1087.0,32,32,3.062,77.34,6.0,33.41,33.97,40,138,1,3.12,转瞬san
