card_name,play_count,wins,avg_position,avg_score,total_weighted,count_weighted,weighted_avg_score,win_rate,cn_name,cn_name_plot
Floater-Urbanism,820,297,2.203658536585366,90.8719512195122,1807.0,820,2.207228915662651,36.22,施韦伯城市规划,施韦伯城市规划
Gyropolis,737,253,2.203527815468114,92.6010854816825,1624.0,737,2.2074966532797857,34.33,旋转都会,旋转都会
Local Heat Trapping,1030,340,2.2058252427184466,87.52427184466019,2272.0,1030,2.208653846153846,33.01,本地的热量陷阱,本地的热量陷阱
Soil Detoxification,1019,347,2.2070657507360156,85.89303238469087,2249.0,1019,2.2099125364431487,34.05,土壤净化,土壤净化
Lava Flows,90,32,2.1777777777777776,80.55555555555556,196.0,90,2.21,35.56,熔岩流,熔岩流
Imported Nutrients,1469,499,2.208304969366916,87.96119809394146,3244.0,1469,2.2102772143340093,33.97,营养物输入,营养物输入
Underground Detonations,85,32,2.176470588235294,99.09411764705882,185.0,85,2.210526315789474,37.65,地下爆破,地下爆破
Cyanobacteria,1214,416,2.2084019769357495,88.62602965403624,2681.0,1214,2.2107843137254903,34.27,蓝藻菌,蓝藻菌
Takonda Castle (VII),862,283,2.2088167053364267,86.72041763341068,1904.0,862,2.2121559633027523,32.83,Takonda Castle (VII),Takonda Castle (VII)
Ocean City,1208,398,2.2110927152317883,88.79221854304636,2671.0,1208,2.213464696223317,32.95,海洋城市,海洋城市
Mass Converter,1417,516,2.211714890613973,90.43895553987296,3134.0,1417,2.2137351086194816,36.41,质能转换器,质能转换器
Venusian Animals,1589,555,2.2120830711139083,91.49465072372561,3515.0,1589,2.2138836772983113,34.93,金星动物,金星动物
Martian Nature Wonders,946,318,2.211416490486258,90.223044397463,2092.0,946,2.2144351464435146,33.62,火星自然遗产,火星自然遗产
Small Animals,642,217,2.210280373831776,88.28816199376946,1419.0,642,2.214723926380368,33.8,小动物,小动物
Advanced Ecosystems,1321,449,2.2127176381529146,90.11430734292203,2923.0,1321,2.2148760330578514,33.99,先进的生态系统,先进的生态系统
Magnetic Shield,741,267,2.211875843454791,93.56680161943319,1639.0,741,2.2157123834886816,36.03,磁屏,磁屏
Ganymede Colony,1431,488,2.2138364779874213,90.71767994409504,3168.0,1431,2.215822345593338,34.1,木卫三殖民地,木卫三殖民地
Crash Site Cleanup,950,319,2.2136842105263157,89.11263157894737,2103.0,950,2.216666666666667,33.58,陨石坑清洁,陨石坑清洁
Behold The Emperor! (III),73,27,2.1780821917808217,90.43835616438356,159.0,73,2.216867469879518,36.99,Behold The Emperor! (III),Behold The Emperor! (III)
Venus Shuttles,919,331,2.2143634385201305,89.7442872687704,2035.0,919,2.217438105489774,36.02,金星穿梭机,金星穿梭机
Martian Culture,528,188,2.212121212121212,92.88068181818181,1168.0,528,2.217472118959108,35.61,火星文化,火星文化
Impactor Swarm,755,257,2.214569536423841,89.45562913907285,1672.0,755,2.2183006535947714,34.04,冲击虫群,冲击虫群
Meat Industry,1479,530,2.2170385395537524,90.25557809330628,3279.0,1479,2.218938885157824,35.84,肉类工业,肉类工业
Bio-Fertilizer Facility,1518,511,2.218050065876153,86.38076416337286,3367.0,1518,2.2198952879581153,33.66,肥料工厂,肥料工厂
Aqueduct Systems,1192,421,2.2181208053691277,89.44379194630872,2644.0,1192,2.220465890183028,35.32,导水系统,导水系统
Capital,76,25,2.1842105263157894,92.34210526315789,166.0,76,2.2209302325581395,32.89,首都,首都
Controlled Bloom,1343,461,2.220402084884587,87.11317944899479,2982.0,1343,2.222468588322247,34.33,爆破控制,爆破控制
Breeding Farms,578,200,2.2197231833910034,91.50519031141869,1283.0,578,2.2244897959183674,34.6,养殖农场,养殖农场
Caretaker Contract,194,67,2.211340206185567,93.3298969072165,429.0,194,2.2254901960784315,34.54,监护合约,监护合约
Space Wargames,921,325,2.222584147665581,90.74592833876221,2047.0,921,2.225563909774436,35.29,太空战争游戏,太空战争游戏
