corporation,players,total_games,wins,avg_position,avg_score,total_weighted,count_weighted,avg_generations,weighted_avg_score,win_rate,cn_name,cn_name_plot
Terralabs Research (breakthrough),3,68,28,1.8676470588235294,105.6029411764706,127.0,68,8.132352941176471,1.8846153846153846,41.18,Terralabs Research (breakthrough),Terralabs Research (breakthrough)
🌸Scolex Industries🌸,3,45,18,1.8666666666666667,98.26666666666667,84.0,45,7.333333333333333,1.8909090909090909,40.0,🌸星核工业🌸,星核工业
🌸Protogen🌸,3,28,14,1.8571428571428572,87.64285714285714,52.0,28,6.892857142857143,1.894736842105263,50.0,🌸微生物热舞🌸,微生物热舞
Ecoline (breakthrough),3,108,36,1.8981481481481481,90.18518518518519,205.0,108,7.722222222222222,1.9067796610169492,33.33,Ecoline (breakthrough),Ecoline (breakthrough)
Teractor (breakthrough),3,122,45,1.901639344262295,102.81147540983606,232.0,122,8.418032786885245,1.9090909090909092,36.89,Teractor (breakthrough),Teractor (breakthrough)
雩喵科学探测器,3,35,14,1.8857142857142857,94.05714285714286,66.0,35,7.571428571428571,1.9111111111111112,40.0,雩喵科学探测器,雩喵科学探测器
🌸MirrorCoat🌸,3,35,13,1.8857142857142857,103.05714285714286,66.0,35,7.771428571428571,1.9111111111111112,37.14,🌸镜反🌸,镜反
Point Luna,3,189,77,1.91005291005291,109.77777777777777,361.0,189,8.386243386243386,1.914572864321608,40.74,Point Luna,Point Luna
Prism,3,49,17,1.8979591836734695,109.71428571428571,93.0,49,8.326530612244898,1.9152542372881356,34.69,棱镜光谱研究室,棱镜光谱研究室
Valley Trust (breakthrough),3,181,69,1.9171270718232045,103.26519337016575,347.0,181,8.425414364640885,1.9214659685863875,38.12,Valley Trust (breakthrough),Valley Trust (breakthrough)
Pharmacy Union,3,43,18,1.9069767441860466,100.90697674418605,82.0,43,8.720930232558139,1.9245283018867925,41.86,制药联盟,制药联盟
Spire,3,71,27,1.9154929577464788,100.08450704225352,136.0,71,8.309859154929578,1.9259259259259258,38.03,Spire,Spire
Incite,3,4,2,1.75,95.0,7.0,4,7.75,1.9285714285714286,50.0,Incite,Incite
🌸SolarPlant🌸,3,33,11,1.9090909090909092,93.84848484848484,63.0,33,7.2727272727272725,1.930232558139535,33.33,🌸太阳能公司🌸,太阳能公司
Colonial One,3,6,2,1.8333333333333333,90.16666666666667,11.0,6,8.666666666666666,1.9375,33.33,Colonial One,Colonial One
Labour Union,3,24,8,1.9166666666666667,71.5,46.0,24,5.75,1.9411764705882353,33.33,Labour Union,Labour Union
Poseidon,3,93,33,1.935483870967742,102.0752688172043,180.0,93,8.172043010752688,1.941747572815534,35.48,Poseidon,Poseidon
Midas,3,25,9,1.92,89.8,48.0,25,7.32,1.9428571428571428,36.0,Midas,Midas
Manutech,3,97,32,1.9381443298969072,96.78350515463917,188.0,97,8.22680412371134,1.9439252336448598,32.99,Manutech,Manutech
Lakefront Resorts,3,44,17,1.9318181818181819,84.88636363636364,85.0,44,6.954545454545454,1.9444444444444444,38.64,湖畔度假区,湖畔度假区
Tharsis_republic (breakthrough),3,82,26,1.9390243902439024,92.34146341463415,159.0,82,8.25609756097561,1.9456521739130435,31.71,Tharsis_republic (breakthrough),Tharsis_republic (breakthrough)
Project Workshop,3,27,9,1.9259259259259258,107.33333333333333,52.0,27,8.407407407407407,1.945945945945946,33.33,Project Workshop,Project Workshop
Soylent Seedling Systems,3,27,7,1.9259259259259258,73.85185185185185,52.0,27,6.111111111111111,1.945945945945946,25.93,索伦特幼苗系统,索伦特幼苗系统
Splice (breakthrough),3,76,24,1.9473684210526316,100.65789473684211,148.0,76,8.328947368421053,1.9534883720930232,31.58,Splice (breakthrough),Splice (breakthrough)
🌸Tyrell🌸,3,33,13,1.9393939393939394,109.63636363636364,64.0,33,7.454545454545454,1.9534883720930232,39.39,🌸泰瑞尔公司🌸,泰瑞尔公司
Arklight (breakthrough),3,60,19,1.95,100.43333333333334,117.0,60,8.416666666666666,1.957142857142857,31.67,Arklight (breakthrough),Arklight (breakthrough)
