rank,player_name,matched_user,match_type,occurrences
69,90,90,exact,99
70,TL,tl,case_insensitive,98
71,驱岩之力,驱岩之力,exact,98
72,lha123com,lha123com,exact,97
73,12345,12345,exact,97
74,cellinia,cellinia,exact,95
75,Martin,martin,case_insensitive,94
76,liu,liu,exact,93
77,anvelbeta,anvelbeta,exact,93
78,浮生若梦,浮生若梦,exact,93
79,6mmmm,6mmmm,exact,92
80,禁忌,禁忌,exact,92
81,lolierl,lolierl,exact,91
82,tree,tree,exact,89
83,SA,sa,case_insensitive,88
84,乙木,乙木,exact,88
85,目空一切,目空一切,exact,87
86,vikiy,vikiy,exact,87
87,beichen,beichen,exact,87
88,hikaru,hikaru,exact,86
89,远野汉娜,远野汉娜,exact,86
90,useful,useful,exact,86
91,田二,田二,exact,85
92,Cellinia,cellinia,case_insensitive,84
93,YXsu,yxsu,case_insensitive,83
94,海贼王,海贼王,exact,83
95,Pocky,pocky,case_insensitive,83
96,xiyue,xiyue,exact,82
97,dgxtony,dgxtony,exact,82
98,neko,neko,exact,82
99,久别辞,久别辞,exact,81
100,shippou225,shippou225,exact,81
101,hxy,hxy,exact,81
102,千、,千、,exact,79
103,冬の花,冬の花,exact,79
104,HMS,hms,case_insensitive,79
105,hanmoyesang,hanmoyesang,exact,78
106,小渊,小渊,exact,77
107,木更小姐可爱捏,木更小姐可爱捏,exact,76
108,陌世之影,陌世之影,exact,76
109,荒野侦探2666,荒野侦探2666,exact,75
110,东东,东东,exact,75
111,地球弹射装置,地球弹射装置,exact,75
112,战术炸车,战术炸车,exact,74
113,bolas,bolas,exact,74
114,米饭,米饭,exact,74
115,leyline,leyline,exact,73
116,zhutoujie88,zhutoujie88,exact,73
117,奥朗德,奥朗德,exact,73
118,扭曲怪,扭曲怪,exact,70
119,qiuqipeng,qiuqipeng,exact,70
120,雨哉南兮,雨哉南兮,exact,70
121,crosshappy,crosshappy,exact,69
122,xp,xp,exact,68
123,听风聆雨,听风聆雨,exact,68
124,于立言BEN,于立言ben,case_insensitive,66
125,x118,x118,exact,66
126,猫猫,猫猫,exact,65
127,王子,王子,exact,65
128,一桜折纸,一桜折纸,exact,65
129,lingdang,lingdang,exact,63
130,飞飞飞,飞飞飞,exact,63
131,rα—1n,rα—1n,exact,62
132,mzc,mzc,exact,61
133,北风吹,北风吹,exact,61
134,小音,小音,exact,60
135,kirtust,kirtust,exact,59
136,等七月の雪,等七月の雪,exact,59
137,彩虹,彩虹,exact,59
138,Thlee0203,thlee0203,case_insensitive,58
139,45,45,exact,57
140,小冉,小冉,exact,56
141,雩喵喵,雩喵喵,exact,56
142,kano,kano,exact,56
143,LIDAI,lidai,case_insensitive,54
144,twotwo,twotwo,exact,53
145,海带tt,海带tt,exact,53
146,居居木,居居木,exact,53
147,桶装企鹅,桶装企鹅,exact,52
148,侠客谋,侠客谋,exact,52
149,唯一真理,唯一真理,exact,51
150,liyo,liyo,exact,51
151,wwh,wwh,exact,50
152,fdpat04,fdpat04,exact,49
153,小花火,小花火,exact,49
154,104728036,104728036,exact,49
155,青眼白菜,青眼白菜,exact,49
156,xu,xu,exact,49
157,小麦,小麦,exact,49
158,dolphin159,dolphin159,exact,49
159,晓黑,晓黑,exact,48
160,虚空车神,虚空车神,exact,48
161,wanxiangchengguan,wanxiangchengguan,exact,48
162,misaki,Misaki,case_insensitive,47
163,小z,小z,exact,47
164,阿尔,阿尔,exact,47
165,lihao,lihao,exact,46
166,shoye,shoye,exact,46
167,赤王陵,赤王陵,exact,45
168,re,re,exact,45
169,_xiaobai_yyds_,_xiaobai_yyds_,exact,44
170,肉了个包,肉了个包,exact,44
171,双子,双子,exact,44
172,恶魔玩偶,恶魔玩偶,exact,44
173,z,小z,alias,44
174,彼岸花,彼岸花,exact,44
175,☆网☆络☆暴☆力☆,☆网☆络☆暴☆力☆,exact,43
176,奥摩摩,奥摩摩,exact,43
177,贝叶斯,贝叶斯,exact,43
178,chan,chan,exact,43
